Symbol	Name	Price
BLCT	BlueCity Holdings	9.98
BLD	TopBuild	207.22
BLDP	Ballard Power Systems	35.53
BLDR	Builders FirstSource	39.42
BLFS	BioLife Solutions	39.59
BLI	Berkeley Lights	71.86
BLIN	Bridgeline Digital	3.58
BLK	BlackRock	713.17
BLKB	Blackbaud	66.73
BLL	Ball Corporation	89.42
BLMN	Bloomin'' Brands	21.51
BLNK	Blink Charging	47.9
BLPH	Bellerophon Therapeutics	7.19
BLRX	BioLineRx	2.85
BLSA	BCLS Acquisition	11.18
BLU	BELLUS Health	3.58
BLUE	Bluebird Bio	45.74
BLX	Banco Latinoamericano	15.23
BMA	Banco Macro	13.63
BMCH	BMC Stock Holdings	0.0
BMI	Badger Meter	94.04
BMO	Bank of Montreal	74.48
BMRA	Biomerica	6.75
BMRC	Bank of Marin Bancorp	37.95
BMRN	BioMarin Pharmaceutical	83
BMTC	Bryn Mawr Bank	31.84
BMY	Bristol-Myers Squibb	62.21
BNAUF	Battle North Gold	1.42
BNED	Barnes & Noble Education	6.35
BNET	Bion Environmental Technologies	0.5
BNFT	Benefitfocus	12.63
BNGO	BioNano Genomics	10.76
BNL	Broadstone Net Lease	18.26
BNR	Burning Rock Biotech	30.19
BNS	Bank of Nova Scotia	53.35
BNSO	Bonso Electronics International	5.95
BNTC	Benitec Biopharma	4.14
BNTX	BioNTech SE	116.1
BOAC	Bluescape Opportunities Acquisition	10.95
BOCH	Bank of Commerce Holdings	10.02
BOH	Bank of Hawaii	79.62
BOKF	BOK Financial	75.79
BOMH	Boomer Holdings	0.69
BOMN	Boston Omaha	29.08
BONXF	BonTerra Resources	1.01
BOOM	DMC Global	55.92
BOOT	Boot Barn Holdings	57.56
BORR	Borr Drilling	0.87
BOSC	BOS Better Online Solutions	2.57
BOTJ	Bank of the James Financial	13.35
BOWX	BowX Acquisition	10.93
BOX	Box, Inc.	17.62
BOXL	Boxlight	2.21
BP	BP plc	22.21
BPFH	Boston Private Financial Holdings	12.51
BPMC	Blueprint Medicines	98.57
BPMP	BP Midstream Partners	11.35
BPOP	Popular	58.99
BPRN	Bank of Princeton	23.13
BPT	BP Prudhoe Bay Royalty Trust	2.91
